id	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR4613287	2021-09-24 18:03:03	2021-09-24 21:33:43	339102	166159980	339102	490	90		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613287/ERR4613287.lite.1	ERX4542370	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087509	SAMEA7328983	simple	1118232	root metagenome	SAMEA7328983							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	5DC4EC829226360516D8706CF8A7EB36	77FDAC0EE4F7E2046AE51B23B9217E74
ERR4613288	2021-09-24 18:03:03	2021-09-24 21:34:17	302261	148107890	302261	490	80		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613288/ERR4613288.lite.1	ERX4542371	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087510	SAMEA7328984	simple	1118232	root metagenome	SAMEA7328984							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	4093DEC9084DD61B0EF348922117991C	5ECB668596AC2D50E9DD971EA67CEAFB
ERR4613289	2021-09-24 18:03:03	2021-09-24 21:34:48	361089	176933610	361089	490	95		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613289/ERR4613289.lite.1	ERX4542372	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087511	SAMEA7328985	simple	1118232	root metagenome	SAMEA7328985							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	361DFB8B5F93F03DC309720EC44ECD99	7A48472FBF55A8A357686093A8AAC9F8
ERR4613290	2021-09-24 18:03:03	2021-09-24 21:35:37	372889	182715610	372889	490	99		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613290/ERR4613290.lite.1	ERX4542373	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087512	SAMEA7328986	simple	1118232	root metagenome	SAMEA7328986							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	DC00C4F271ECC0183ECB05059E1892A3	1D0863263FFF47FB455D34EC3CF6BC4E
ERR4613291	2021-09-24 18:03:03	2021-09-24 21:34:50	397780	194912200	397780	490	105		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613291/ERR4613291.lite.1	ERX4542374	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087513	SAMEA7328987	simple	1118232	root metagenome	SAMEA7328987							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	1B929BC07FE755333488168EBD1DEF33	6B21F903B431520D4A7C37FD79A53462
ERR4613292	2021-09-24 18:03:03	2021-09-24 21:34:26	319395	156503550	319395	490	83		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613292/ERR4613292.lite.1	ERX4542375	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087514	SAMEA7328988	simple	1118232	root metagenome	SAMEA7328988							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	286171E5445C819F3B5FA5F255970B5D	F7B2651B5CEE002DEACC3EDE9891221A
ERR4613293	2021-09-24 18:03:03	2021-09-24 21:35:23	339146	166181540	339146	490	89		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613293/ERR4613293.lite.1	ERX4542376	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087515	SAMEA7328989	simple	1118232	root metagenome	SAMEA7328989							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	A6CE69BFDF45E0BEA6B1E8A11B9F275F	B6A23D412FA9E84F7BF861928E5E601D
ERR4613294	2021-09-24 18:03:03	2021-09-24 21:37:48	582277	285315730	582277	490	154		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613294/ERR4613294.lite.1	ERX4542377	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087516	SAMEA7328990	simple	1118232	root metagenome	SAMEA7328990							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	7108F5C5F74EB50635A5F3EEB2D21421	993D3B2B344E7D6B6606E6EE3708DDB6
ERR4613295	2021-09-24 18:03:03	2021-09-24 21:34:57	375491	183990590	375491	490	100		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613295/ERR4613295.lite.1	ERX4542378	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087517	SAMEA7328991	simple	1118232	root metagenome	SAMEA7328991							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	82DB47ADD717D44A9EE7F1A0D8CC1707	05CC5721A9AF5A672640E115AC439DB7
ERR4613296	2021-09-24 18:03:03	2021-09-24 21:35:03	377815	185129350	377815	490	100		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613296/ERR4613296.lite.1	ERX4542379	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087518	SAMEA7328992	simple	1118232	root metagenome	SAMEA7328992							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	52174D25A388BCE226E03E79B9179AD4	7E64FF758ADDD9264735A28575776DD8
ERR4613297	2021-09-24 18:03:03	2021-09-24 21:36:39	374688	183597120	374688	490	99		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613297/ERR4613297.lite.1	ERX4542380	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087519	SAMEA7328993	simple	1118232	root metagenome	SAMEA7328993							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	58B1B77B2F1571CD72D534322CDE6BAC	20B01939002984CABE1C0D1F330A3BE5
ERR4613298	2021-09-24 18:03:03	2021-09-24 21:38:04	375990	184235100	375990	490	99		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613298/ERR4613298.lite.1	ERX4542381	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087520	SAMEA7328994	simple	1118232	root metagenome	SAMEA7328994							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	E6ED0A19AF0D3F3389786D02FA4085C4	CF7B4A5C5F9581D18098285C61D406B9
ERR4613299	2021-09-24 18:03:03	2021-09-24 21:35:03	305560	149724400	305560	490	80		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613299/ERR4613299.lite.1	ERX4542382	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087521	SAMEA7328995	simple	1118232	root metagenome	SAMEA7328995							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	0A7842DF97658F2CE278A3075C84C188	4ACCD0F709AA123411504AF643A814E5
ERR4613300	2021-09-24 18:03:03	2021-09-24 21:34:41	344389	168750610	344389	490	90		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613300/ERR4613300.lite.1	ERX4542383	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087522	SAMEA7328996	simple	1118232	root metagenome	SAMEA7328996							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	3257ACF387501BCE30DD47BB625D997E	A3EADC1433CABC272E749463A337701C
ERR4613301	2021-09-24 18:03:03	2021-09-24 21:34:34	370287	181440630	370287	490	98		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613301/ERR4613301.lite.1	ERX4542384	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087523	SAMEA7328997	simple	1118232	root metagenome	SAMEA7328997							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	29CA6C9ECB0B221E2693F4212EF24474	1A89AA4F6461B54C568628F01BE477A0
ERR4613302	2021-09-24 18:03:03	2021-09-24 21:34:43	523755	256639950	523755	490	138		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613302/ERR4613302.lite.1	ERX4542385	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087524	SAMEA7328998	simple	1118232	root metagenome	SAMEA7328998							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	F9678F7E4B10B85EA174E830011F6EAA	075EBB8A24181EDBAA69ABBDD4088377
ERR4613303	2021-09-24 18:03:03	2021-09-24 22:41:44	380095	186246550	380095	490	100		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613303/ERR4613303.lite.1	ERX4542386	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087525	SAMEA7328999	simple	1118232	root metagenome	SAMEA7328999							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	FD6F6DA27AE78E7FAE12F7F3BC85CCF1	C81B46293541C555038FB0D97F9A3D1B
ERR4613304	2021-09-24 18:03:03	2021-09-24 22:41:06	343204	168169960	343204	490	90		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613304/ERR4613304.lite.1	ERX4542387	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087526	SAMEA7329000	simple	1118232	root metagenome	SAMEA7329000							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	45D2E1B855F4335A6C6B96A02B2CA177	583869AF0E444BA1853D995E1E169219
ERR4613305	2021-09-24 18:03:04	2021-09-24 22:42:10	378685	185555650	378685	490	101		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613305/ERR4613305.lite.1	ERX4542388	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087527	SAMEA7329001	simple	1118232	root metagenome	SAMEA7329001							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	0432B223ED61DC4CBC94DE326189C0B9	0942321C5B3D24BCF61385054ECC8F6E
ERR4613306	2021-09-24 18:03:04	2021-09-24 22:41:25	130415	63903350	130415	490	34		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613306/ERR4613306.lite.1	ERX4542389	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087528	SAMEA7329002	simple	410658	soil metagenome	SAMEA7329002							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	FC3973827A0EB793156D9BC8D4E3076E	CCA0F57DAD93469DA8126938361389B6
ERR4613307	2021-09-24 18:03:04	2021-09-24 22:40:32	125752	61618480	125752	490	33		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613307/ERR4613307.lite.1	ERX4542390	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087529	SAMEA7329003	simple	410658	soil metagenome	SAMEA7329003							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	60F38B890B7E27194C2A2627983F70C9	40E499B39D68B77D7888107490AB8CD1
ERR4613308	2021-09-24 18:03:04	2021-09-24 22:41:07	154732	75818680	154732	490	41		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613308/ERR4613308.lite.1	ERX4542391	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087530	SAMEA7329004	simple	410658	soil metagenome	SAMEA7329004							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	DC028D4EF78881EAD2C3B406862A7A0F	933206DB75BFDA10366A46E781B10C34
ERR4613309	2021-09-24 18:03:04	2021-09-24 22:40:32	152467	74708830	152467	490	41		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613309/ERR4613309.lite.1	ERX4542392	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087531	SAMEA7329005	simple	410658	soil metagenome	SAMEA7329005							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	E9263300D89B7B909ED6986874148F55	0DAD6254CFBAA7E63AAD661915312188
ERR4613310	2021-09-24 18:03:04	2021-09-24 21:32:45	166531	81600190	166531	490	44		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613310/ERR4613310.lite.1	ERX4542393	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087532	SAMEA7329006	simple	410658	soil metagenome	SAMEA7329006							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	E452DC262C3E48400B2DD8C5F51A8AF4	AE541230A773FC32A3EA3862827AEE1E
ERR4613311	2021-09-24 18:03:04	2021-09-24 21:32:02	197631	96839190	197631	490	53		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613311/ERR4613311.lite.1	ERX4542394	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087533	SAMEA7329007	simple	410658	soil metagenome	SAMEA7329007							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	4A36804AF297D57718B67EC63806D0C1	46316A0F79CF70DF16215ED27DC584EB
ERR4613312	2021-09-24 18:03:04	2021-09-24 21:34:32	203830	99876700	203830	490	55		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4613/ERR4613312/ERR4613312.lite.1	ERX4542395	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087534	SAMEA7329008	simple	410658	soil metagenome	SAMEA7329008							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	5942E540E2C1E4B7FC269C2FF35E19F4	C38DE3E06BFBD29757597DE4C249976C
ERR4613313	2021-09-24 18:03:04	2021-09-24 21:34:52	179011	87715390	179011	490	47		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613313/ERR4613313.lite.1	ERX4542396	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087535	SAMEA7329009	simple	410658	soil metagenome	SAMEA7329009							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	A1CEF8CB8824C28F29A97A66966F2B6E	6EFBB784B44455B8EE2BDD73EEE7B870
ERR4613314	2021-09-24 18:03:04	2021-09-24 21:35:06	302777	148360730	302777	490	80		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613314/ERR4613314.lite.1	ERX4542397	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087536	SAMEA7329010	simple	1118232	root metagenome	SAMEA7329010							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	40F0E82C668FE0A0B16A777327BBCEA1	7E6D9EC6359D48E34FAB3AECB76C7450
ERR4613315	2021-09-24 18:03:04	2021-09-24 21:34:08	335475	164382750	335475	490	89		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613315/ERR4613315.lite.1	ERX4542398	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087537	SAMEA7329011	simple	1118232	root metagenome	SAMEA7329011							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	CAC77A5B082EAA64E6C0386AF8F633A4	FCE8CF3B5C4F086C7B912A2E5AFC31C5
ERR4613316	2021-09-24 18:03:05	2021-09-24 21:34:14	339653	166429970	339653	490	90		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4613/ERR4613316/ERR4613316.lite.1	ERX4542399	unspecified	AMPLICON	PCR	METAGENOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2500	ERP123699	PRJEB40100		758867	ERS5087538	SAMEA7329012	simple	1118232	root metagenome	SAMEA7329012							no					"VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY	 GHENT UNI"	ERA2917730		public	7CACB9B117AFBF86B98FDAFA9D459C58	583F53F64453AE1BE78977BA01650DCF
